game,skill_description,task,timestamp
zork1,"
West of House
This is an open field west of a white house, with a boarded front door.
There is a small mailbox here.
A rubber mat saying 'Welcome to Zork!' lies by the door.

>                                                                                                                                West of HouseScore: 0Moves: 2",Look around and examine your surroundings,5.399126052856445
zork1,"
You open the mailbox, revealing a small leaflet.

>                                                                                                                                West of HouseScore: 0Moves: 3",Open mailbox,10.003782510757446
zork1,"
Taken.

>                                                                                                                                West of HouseScore: 0Moves: 4",Take leaflet,14.189537525177002
zork1,"
The house is a beautiful colonial house which is painted white.  It is clear that the owners must have been extremely wealthy.

>                                                                                                                                West of HouseScore: 0Moves: 5",Examine house,18.96293306350708
zork1,"
The door is locked, and there is evidently no key.

>                                                                                                                                West of HouseScore: 0Moves: 6",Go east,24.25130033493042
zork1,"
North of House
You are facing the north side of a white house.  There is no door here, and all the windows are barred.

>                                                                                                                                North of HouseScore: 0Moves: 7",Go north,28.750521421432495
zork1,"
West of House
There is a small mailbox here.
A rubber mat saying 'Welcome to Zork!' lies by the door.

>                                                                                                                                West of HouseScore: 0Moves: 8",Go west,33.68283677101135
zork1,"
That's already open.

>                                                                                                                                West of HouseScore: 0Moves: 9",Open mailbox,37.753072023391724
zork1,"
West of House
This is an open field west of a white house, with a boarded front door.
There is a small mailbox here.
A rubber mat saying 'Welcome to Zork!' lies by the door.

>                                                                                                                                West of HouseScore: 0Moves: 10",Look at west of house,42.56651067733765
zork1,"
West of House
This is an open field west of a white house, with a boarded front door.
There is a small mailbox here.
A rubber mat saying 'Welcome to Zork!' lies by the door.

>                                                                                                                                West of HouseScore: 0Moves: 16",Look at west of house,67.49085450172424
zork1,"
West of House
This is an open field west of a white house, with a boarded front door.
There is a small mailbox here.
A rubber mat saying 'Welcome to Zork!' lies by the door.

>                                                                                                                                West of HouseScore: 0Moves: 20",Look around west of house,89.2869234085083
zork1,"
Moving the welcome mat reveals nothing.

>                                                                                                                                West of HouseScore: 0Moves: 22",Lift the rubber mat,97.77054691314697
zork1,"
The door is locked, and there is evidently no key.

>                                                                                                                                West of HouseScore: 0Moves: 23",Go east,102.16276097297668
zork1,"
South of House
You are facing the south side of a white house.  There is no door here, and all the windows are barred.

>                                                                                                                                South of HouseScore: 0Moves: 24",Go south,106.12340879440308
zork1,"
The windows are all barred.

>                                                                                                                                South of HouseScore: 0Moves: 26",Go north,117.52738070487976
zork1,"
                          WELCOME TO ZORK

    ZORK is a game of adventure, danger, and low cunning.  In it you will explore some of the most amazing territory ever seen by mortal man.  Hardened adventurers have run screaming from the terrors contained within!

    In ZORK the intrepid explorer delves into the forgotten secrets of a lost labyrinth deep in the bowels of the earth, searching for vast treasures long hidden from prying eyes, treasures guarded by fearsome monsters and diabolical traps!

    No PDP-10 should be without one!

    ZORK was created at the MIT Laboratory for Computer Science, by Tim Anderson, Marc Blank, Bruce Daniels, and Dave Lebling.  It was inspired by the ADVENTURE game of Crowther and Woods, and the long tradition of fantasy and science fiction adventure.  ZORK was originally written in MDL (alias MUDDLE).  The current version was translated from MDL into Inform by Ethan Dicks <erd@infinet.com>.

    On-line information may be available using the HELP and INFO commands (most systems).

    Direct inquiries, comments, etc. by Net mail to erd@infinet.com.

    (c) Copyright 1978,1979 Massachusetts Institute of Technology. 
                     All rights reserved.

>                                                                                                                                South of HouseScore: 0Moves: 27",Examine leaflet,121.52305436134338
zork1,"
The house is a beautiful colonial house which is painted white.  It is clear that the owners must have been extremely wealthy.

>                                                                                                                                South of HouseScore: 0Moves: 28",Examine the house,125.84583640098572
