game,task,status,steps_taken,command_count,reason
zork1,Look around and examine your surroundings,completed,1,1,
zork1,Open mailbox,completed,1,1,
zork1,Take leaflet,completed,1,1,
zork1,Examine house,completed,1,1,
zork1,Go east,completed,1,1,
zork1,Go north,completed,1,1,
zork1,Go west,completed,1,1,
zork1,Open mailbox,completed,1,1,
zork1,Look at west of house,completed,1,1,
zork1,Look at west of house,completed,1,1,
zork1,Look around west of house,completed,1,1,
zork1,Lift the rubber mat,completed,2,2,
zork1,Go east,completed,1,1,
zork1,Go south,completed,1,1,
zork1,Go north,completed,2,2,
zork1,Examine leaflet,completed,1,1,
zork1,Examine the house,completed,1,1,
zork1,Examine south side of house,completed,1,1,
zork1,Go west,completed,1,1,
zork1,Open mailbox,completed,1,1,
zork1,Go north,completed,2,2,
zork1,Climb the large tree,completed,2,2,
zork1,Take jeweled egg from nest,completed,1,1,
zork1,Climb down from the tree,completed,1,1,
zork1,Go south,completed,1,1,
zork1,Move leaves with your hands,completed,1,1,
zork1,Go north,completed,1,1,
zork1,Go south,completed,1,1,
zork1,Go east toward the sunlight,completed,1,1,
zork1,Go west,completed,1,1,
zork1,Climb the large tree,completed,2,2,
zork1,Take birds nest,completed,1,1,
zork1,Climb down from the tree,completed,1,1,
zork1,Go south,completed,1,1,
zork1,Examine pile of leaves,completed,2,2,
zork1,Go west,completed,1,1,
zork1,Go east,completed,1,1,
zork1,Move the pile of leaves,completed,1,1,
zork1,Drop birds nest,completed,1,1,
zork1,Go west,completed,2,2,
zork1,Look under the rubber mat,completed,1,1,
zork1,Go north,completed,4,4,
zork1,Go south,completed,2,2,
zork1,Look around Canyon View,completed,1,1,
zork1,Climb down into the canyon,completed,4,4,
zork1,Examine jewel-encrusted egg,completed,3,3,
zork1,Look around Canyon View,completed,1,1,
zork1,Climb down into the canyon,completed,5,5,
zork1,Go north along the narrow path,completed,1,1,
zork1,Go southeast along the narrow path,completed,1,1,
zork1,Look around Canyon Bottom,completed,1,1,
zork1,Go north along the narrow path,completed,1,1,
zork1,Look around End of Rainbow,completed,1,1,
zork1,Read small leaflet,completed,1,1,
zork1,Go southwest along the narrow path,completed,2,2,
zork1,Go southeast along the narrow path,completed,1,1,
zork1,Look around Canyon Bottom,completed,1,1,
zork1,Go north along the narrow path,completed,2,2,
zork1,Look around End of Rainbow,completed,1,1,
zork1,Go southeast along the narrow path,completed,2,2,
zork1,Look around Canyon Bottom,completed,1,1,
zork1,Go north along the narrow path,completed,2,2,
zork1,Look around End of Rainbow,completed,1,1,
zork1,Go southeast along the narrow path,completed,1,1,
zork1,Look around Canyon Bottom,completed,1,1,
zork1,Go north along the narrow path,completed,1,1,
zork1,Go southwest along narrow path,completed,4,4,
zork1,Look around Canyon Bottom,completed,1,1,
zork1,Go north along narrow path,completed,1,1,
zork1,Look around End of Rainbow,completed,1,1,
zork1,Go southeast along narrow path,completed,1,1,
zork1,Go north along narrow path,completed,2,2,
zork1,Look around End of Rainbow,completed,1,1,
zork1,Go southeast along narrow path,completed,2,2,
zork1,Look around Canyon Bottom,completed,1,1,
zork1,Go north along narrow path,completed,2,2,
zork1,Look around End of Rainbow,completed,1,1,
zork1,Go southeast along narrow path,completed,1,1,
zork1,Look around Canyon Bottom,completed,1,1,
zork1,Go north along narrow path,completed,2,2,
zork1,Read the small leaflet,completed,1,1,
zork1,Read the small leaflet,completed,1,1,
zork1,Read the small leaflet,completed,1,1,
zork1,Look around End of Rainbow,completed,1,1,
zork1,Go southeast along the narrow path,completed,1,1,
zork1,Look around Canyon Bottom,completed,1,1,
zork1,Go north along the narrow path,completed,1,1,
zork1,Go northwest along the narrow path,completed,1,1,
zork1,Go southwest along the narrow path,completed,2,2,
zork1,Look around Canyon Bottom,completed,1,1,
zork1,Go north along the narrow path,completed,1,1,
zork1,Look around End of Rainbow,completed,1,1,
zork1,Go southeast along the narrow path,completed,1,1,
zork1,Look around Canyon Bottom,completed,1,1,
zork1,Go north along the narrow path,completed,1,1,
zork1,Go southwest,completed,1,1,
zork1,Look around End of Rainbow,completed,1,1,
zork1,Go southeast along the narrow path,completed,2,2,
zork1,Look around Canyon Bottom,completed,1,1,
zork1,Go north along narrow path,completed,2,2,
zork1,Look around End of Rainbow,completed,1,1,
zork1,Go southeast along narrow path,completed,2,2,
zork1,Look around Canyon Bottom,completed,1,1,
zork1,Go north along narrow path,completed,1,1,
zork1,Go southwest along narrow path,completed,1,1,
zork1,Go west across the rainbow,completed,2,2,
zork1,Look around End of Rainbow,completed,1,1,
zork1,Go southeast along narrow path,completed,2,2,
zork1,Look around Canyon Bottom,completed,1,1,
zork1,Go north along the narrow path,completed,1,1,
zork1,Look around End of Rainbow,completed,1,1,
zork1,Go southeast along narrow path,completed,1,1,
zork1,Read small leaflet,completed,1,1,
zork1,Look around Canyon Bottom,completed,1,1,
zork1,Climb canyon walls,completed,3,3,
zork1,Look around Rocky Ledge,completed,1,1,
zork1,Climb up to higher ledge,completed,1,1,
zork1,Look around Canyon View,completed,1,1,
zork1,Read small leaflet,completed,1,1,
zork1,Examine small leaflet,completed,1,1,
zork1,Look around Rocky Ledge,completed,1,1,
zork1,Climb up to higher ledge,completed,2,2,
zork1,Go west,completed,1,1,
zork1,Go south,completed,2,2,
zork1,Go north,completed,1,1,
zork1,Go west,completed,2,2,
zork1,Go south,completed,2,2,
zork1,Go east,completed,1,1,
zork1,Go west,completed,2,2,
zork1,Look around the forest,completed,1,1,
zork1,Go east,completed,2,2,
zork1,Take birds nest,completed,1,1,
zork1,Go west,completed,1,1,
zork1,Go east,completed,1,1,
zork1,Take jewel-encrusted egg,completed,1,1,
zork1,Go west,completed,2,2,
zork1,Go east,completed,2,2,
zork1,Move leaves with your hands,completed,1,1,
zork1,Go west,completed,2,2,
zork1,Go south,completed,1,1,
zork1,Go east,completed,1,1,
zork1,Go north,completed,1,1,
zork1,Read leaflet,completed,1,1,
zork1,Look at north of house,completed,1,1,
zork1,Go west,completed,1,1,
zork1,Open mailbox,completed,1,1,
zork1,Go south,completed,1,1,
zork1,Go north,completed,1,1,
zork1,Go east,completed,2,2,
zork1,Move the pile of leaves,completed,1,1,
zork1,Read small leaflet,completed,1,1,
zork1,Go west,completed,1,1,
zork1,Go west,completed,1,1,
zork1,Go south,completed,1,1,
zork1,Go east,completed,2,2,
zork1,Move the pile of leaves,completed,1,1,
zork1,Go north,completed,1,1,
zork1,Go east,completed,2,2,
zork1,Take pile of leaves,completed,1,1,
zork1,Read small leaflet,completed,1,1,
zork1,Go west,completed,1,1,
zork1,Go south,completed,1,1,
zork1,Drop pile of leaves,completed,1,1,
zork1,Go north,completed,2,2,
zork1,Look under pile of leaves,completed,1,1,
zork1,Read small leaflet,completed,1,1,
zork1,Look around the clearing,completed,1,1,
zork1,Take pile of leaves,completed,1,1,
zork1,Go west,completed,1,1,
zork1,Go east,completed,1,1,
zork1,Drop pile of leaves,completed,1,1,
zork1,Read small leaflet,completed,1,1,
zork1,Go west,completed,2,2,
zork1,Go south,completed,4,4,
zork1,Go west,completed,1,1,
zork1,Open mailbox,completed,1,1,
zork1,Go south,completed,1,1,
zork1,Go east,completed,2,2,
zork1,Move leaves with your hands,completed,1,1,
zork1,Go east,completed,1,1,
zork1,Take pile of leaves,completed,1,1,
zork1,Go west,completed,2,2,
zork1,Go west,completed,1,1,
zork1,Open mailbox,completed,1,1,
zork1,Go east,completed,1,1,
zork1,Go east,completed,2,2,
zork1,Go north,completed,1,1,
zork1,Go east,completed,2,2,
zork1,Drop pile of leaves,completed,1,1,
zork1,Read small leaflet,completed,1,1,
zork1,Go west,completed,1,1,
zork1,Go south,completed,4,4,
zork1,Go west,completed,1,1,
zork1,Go east,completed,1,1,
zork1,Move the pile of leaves,completed,1,1,
zork1,Read small leaflet,completed,1,1,
zork1,Go north,completed,2,2,
zork1,Take pile of leaves,completed,1,1,
zork1,Go west,completed,1,1,
zork1,Go east,completed,1,1,
zork1,Drop pile of leaves,completed,1,1,
zork1,Read small leaflet,completed,1,1,
zork1,Go east,completed,1,1,
zork1,Examine pile of leaves,completed,2,2,
zork1,Go west,completed,1,1,
zork1,Go south,completed,1,1,
zork1,Take pile of leaves,completed,1,1,
zork1,Read small leaflet,completed,1,1,
zork1,Go north,completed,1,1,
zork1,Drop pile of leaves,completed,1,1,
zork1,Go west,completed,1,1,
zork1,Go south,completed,1,1,
zork1,Take pile of leaves,completed,1,1,
zork1,Read small leaflet,completed,1,1,
zork1,Read small leaflet,completed,1,1,
zork1,Go north,completed,1,1,
zork1,Drop pile of leaves,completed,1,1,
